#{"t_start": 1588858822.4834797, "env_id": null}
r,l,t
-4.027778,1,2.775952
-3.972222,1,2.779942
-4.027778,1,2.781936
-4.027778,1,2.782935
-3.972222,1,2.784929
-4.027778,1,2.786925
-3.972222,1,2.791912
-4.027778,1,2.792907
-3.972222,1,2.794903
-3.972222,1,2.795912
-3.972222,1,2.797894
-4.027778,1,2.801884
-4.027778,1,2.803879
-4.027778,1,2.804876
-3.972222,1,2.806871
-3.972222,1,2.808871
-3.972222,1,2.813851
-4.027778,1,2.815846
-3.972222,1,2.817842
-4.027778,1,2.819835
-4.027778,1,2.820833
-3.972222,1,2.826817
-4.027778,1,2.828812
-3.972222,1,2.829809
-3.972222,1,2.832801
-4.027778,1,2.8338
-3.972222,1,2.839783
-3.972222,1,2.841779
-4.027778,1,2.843772
-3.972222,1,2.845766
-3.972222,1,2.847771
-4.027778,1,2.853745
-4.027778,1,2.85574
-3.972222,1,2.857734
-4.027778,1,2.858734
-3.972222,1,2.860728
-4.027778,1,2.86672
-3.972222,1,2.868705
-4.027778,1,2.87071
-4.027778,1,2.872694
-4.027778,1,2.874694
-3.972222,1,2.880673
-3.972222,1,2.882668
-4.027778,1,2.884676
-4.027778,1,2.886658
-3.972222,1,2.888653
-3.972222,1,2.895634
-4.027778,1,2.897627
-3.972222,1,2.898626
-4.027778,1,2.900621
-3.972222,1,2.903612
-3.972222,1,2.908598
-3.972222,1,2.910614
-4.027778,1,2.912589
-3.972222,1,2.914583
-3.972222,1,2.916577
-4.027778,1,2.922562
-4.027778,1,2.924557
-3.972222,1,2.925564
-4.027778,1,2.927549
-3.972222,1,2.929543
-3.972222,1,2.935528
-4.027778,1,2.936524
-4.027778,1,2.93852
-3.972222,1,2.940513
-3.972222,1,2.942508
-3.972222,1,2.948492
-4.027778,1,2.94949
-3.972222,1,2.951485
-4.027778,1,2.952481
-4.027778,1,2.954476
-3.972222,1,2.96046
-4.027778,1,2.962456
-3.972222,1,2.96445
-3.972222,1,2.966445
-3.972222,1,2.968439
-3.972222,1,2.974423
-4.027778,1,2.976417
-4.027778,1,2.977415
-3.972222,1,2.979409
-3.972222,1,2.981405
-3.972222,1,2.986392
-3.972222,1,2.988385
-3.972222,1,2.989384
-3.972222,1,2.99138
-4.027778,1,2.993373
-3.972222,1,2.998363
-4.027778,1,3.000353
-3.972222,1,3.002348
-3.972222,1,3.003345
-3.972222,1,3.006338
-4.027778,1,3.011324
-3.972222,1,3.01332
-3.972222,1,3.014315
-4.027778,1,3.01631
-3.972222,1,3.018306
-4.027778,1,3.022295
-3.972222,1,3.024289
-4.027778,1,3.025286
-3.972222,1,3.027281
-4.027778,1,3.028278
-4.027778,1,3.033265
-3.972222,1,3.03526
